"phenotype_category","code","description","code_system","clinical_subcategory","phenotype_name","rank"
"Chronic Paediatric Condition","N329","Bladder disorder, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N33","Bladder disorders in diseases classified elsewhere","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N330","Tuberculous cystitis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N338","Bladder disorders in other diseases classified elsewhere","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N35","Urethral stricture","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N350","Post-traumatic urethral stricture","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N351","Postinfective urethral stricture, not elsewhere classified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N358","Other urethral stricture","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N359","Urethral stricture, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N36","Other disorders of urethra","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N360","Urethral fistula","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N361","Urethral diverticulum","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N362","Urethral caruncle","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N363","Prolapsed urethral mucosa","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N368","Other specified disorders of urethra","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N369","Urethral disorder, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N391","Persistent proteinuria, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N393","Stress incontinence","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N394","Other specified urinary incontinence","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N40","Hyperplasia of prostate","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N42","Other disorders of prostate","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N420","Calculus of prostate","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N421","Congestion and haemorrhage of prostate","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N422","Atrophy of prostate","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N423","Dysplasia of prostate","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N428","Other specified disorders of prostate","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N429","Disorder of prostate, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N701","Chronic salpingitis and oophoritis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N711","Chronic inflammatory disease of uterus","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N72","Inflammatory disease of cervix uteri","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N73","Other female pelvic inflammatory diseases","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N731","Chronic parametritis and pelvic cellulitis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N734","Female chronic pelvic peritonitis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N735","Female pelvic peritonitis, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N736","Female pelvic peritoneal adhesions","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N738","Other specified female pelvic inflammatory diseases","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N739","Female pelvic inflammatory disease, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N80","Endometriosis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N800","Endometriosis of uterus","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N801","Endometriosis of ovary","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N802","Endometriosis of fallopian tube","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N803","Endometriosis of pelvic peritoneum","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N804","Endometriosis of rectovaginal septum and vagina","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N805","Endometriosis of intestine","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N806","Endometriosis in cutaneous scar","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N808","Other endometriosis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N809","Endometriosis, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N81","Female genital prolapse","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N810","Female urethrocele","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N811","Cystocele","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N812","Incomplete uterovaginal prolapse","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N813","Complete uterovaginal prolapse","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N814","Uterovaginal prolapse, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N815","Vaginal enterocele","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N816","Rectocele","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N818","Other female genital prolapse","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N819","Female genital prolapse, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N82","Fistulae involving female genital tract","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N820","Vesicovaginal fistula","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N821","Other female urinary-genital tract fistulae","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N822","Fistula of vagina to small intestine","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N823","Fistula of vagina to large intestine","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N824","Other female intestinal-genital tract fistulae","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N825","Female genital tract-skin fistulae","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N828","Other female genital tract fistulae","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N829","Female genital tract fistula, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N85","Other noninflammatory disorders of uterus, except cervix","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N850","Endometrial glandular hyperplasia","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N851","Endometrial adenomatous hyperplasia","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N852","Hypertrophy of uterus","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N853","Subinvolution of uterus","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N856","Intrauterine synechiae","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N857","Haematometra","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N858","Other specified noninflammatory disorders of uterus","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N859","Noninflammatory disorder of uterus, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N87","Dysplasia of cervix uteri","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N870","Mild cervical dysplasia","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N871","Moderate cervical dysplasia","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N872","Severe cervical dysplasia, not elsewhere classified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N879","Dysplasia of cervix uteri, unspecified","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N88","Other noninflammatory disorders of cervix uteri","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","N882","Stricture and stenosis of cervix uteri","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","Y841","Kidney dialysis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","Z49","Care involving dialysis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","Z490","Preparatory care for dialysis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","Z491","Extracorporeal dialysis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","Z492","Other dialysis","ICD10 codes","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1AA..00","Prostatism","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z1..00","Chronic renal impairment","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z10.00","Chronic kidney disease stage 1","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z11.00","Chronic kidney disease stage 2","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z12.00","Chronic kidney disease stage 3","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z13.00","Chronic kidney disease stage 4","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z14.00","Chronic kidney disease stage 5","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z15.00","Chronic kidney disease stage 3A","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","1Z16.00","Chronic kidney disease stage 3B","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","4K23.11","CIN I - mild dyskaryosis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","4K28.11","CIN II - moderate dyskaryosis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","B7C2000","Adenoma of prostate","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","B7C2200","Myoma of prostate","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","B831.12","Cervical intraepithelial neoplasia","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C104.00","Diabetes mellitus with renal manifestation","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C104000","Diabetes mellitus, juvenile type, with renal manifestation","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C104100","Diabetes mellitus, adult onset, with renal manifestation","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C104.11","Diabetic nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C104y00","Other specified diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C104z00","Diabetes mellitus with nephropathy NOS","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C108000","Insulin-dependent diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C108011","Type I diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C108012","Type 1 diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C108D00","Insulin dependent diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C108D11","Type I diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C108D12","Type 1 diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C109000","Non-insulin-dependent diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C109011","Type II diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C109012","Type 2 diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C109C00","Non-insulin dependent diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C109C11","Type II diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C109C12","Type 2 diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10E000","Type 1 diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10E011","Type I diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10E012","Insulin-dependent diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10ED00","Type 1 diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10ED11","Type I diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10ED12","Insulin dependent diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10F000","Type 2 diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10F011","Type II diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10FC00","Type 2 diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10FC11","Type II diabetes mellitus with nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10FL00","Type 2 diabetes mellitus with persistent proteinuria","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C10FL11","Type II diabetes mellitus with persistent proteinuria","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C300800","Juvenile nephropathic cystinosis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C300811","Adolescent cystinosis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",2
"Chronic Paediatric Condition","C30A.00","Tryptophan malabsorption syndrome","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",2
"Chronic Paediatric Condition","C30A.11","Blue diaper syndrome","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",2
"Chronic Paediatric Condition","C314.11","Renal diabetes","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C341100","Uric acid nephrolithiasis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C341111","Renal stone - uric acid","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C354C00","Cortical nephrocalcinosis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C368000","Gitelman syndrome","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C372400","Urate nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C372411","Uric acid nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C372500","Acute urate nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C372511","Acute uric acid nephropathy","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","C373J00","Beta-2 microglobulin amyloidosis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","Cyu2300","[X]Unspecified diabetes mellitus with renal complications","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","D215.00","Anaemia secondary to renal failure","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","D215000","Anaemia secondary to chronic renal failure","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","D310100","Henoch-Schonlein nephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","F246111","Atonic bladder","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","F246112","Neurogenic bladder","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","F246113","Neuropathic bladder","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","F374A00","Polyneuropathy in uraemia","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",2
"Chronic Paediatric Condition","G752100","Goodpasture's disease","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","G752111","Antiglomerular basement membrane disease","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","G752112","Anti GBM disease - Antiglomerular basement membrane disease","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00..00","Acute glomerulonephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K000.00","Acute proliferative glomerulonephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K000000","Shunt nephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K000100","Crescentic glomerulonephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K000111","CGN - Crescentic glomerulonephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K001.00","Acute nephritis with lesions of necrotising glomerulitis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00..11","Acute nephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00..12","Bright's disease","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00..13","AGN - Acute glomerulonephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00y.00","Other acute glomerulonephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00y000","Acute glomerulonephritis in diseases EC","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00y100","Acute exudative nephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00y200","Acute focal nephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00y300","Acute diffuse nephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00y400","Acute radiation nephritis","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00yz00","Other acute glomerulonephritis NOS","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K00z.00","Acute glomerulonephritis NOS","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
"Chronic Paediatric Condition","K01..00","Nephrotic syndrome","Read codes v2","Renal and Genitourinary - non-congenital renal and urogenital disorders","Renal and Genitourinary",1
